<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ACU,20030102,3.76,3.76,3.76,3.76,0
AE,20030102,5.34,5.35,5.34,5.35,1400
AGT,20030102,2.22,2.25,2.2,2.2,3600
AIM,20030102,19.5,19.5,19.41,19.41,900
AMS,20030102,4.16,4.16,4.15,4.15,600
APT,20030102,0.85,0.89,0.84,0.87,18800
AWX,20030102,1.95,2.05,1.95,2.05,1100
BCV,20030102,17.79,18.14,17.79,18.14,2300
BDL,20030102,6.1,6.1,5.9,6.05,9300
BDR,20030102,1.65,1.8,1.65,1.75,3200
BHB,20030102,12.8667,12.9333,12.8,12.8,2400
BRN,20030102,3.347,3.347,3.347,3.347,0
CCF,20030102,5.725,5.725,5.7,5.725,3300
CEF,20030102,4.77,4.78,4.6,4.64,171700
CET,20030102,16.46,16.7,16.46,16.65,5600
CEV,20030102,14.14,14.2,14.14,14.2,8200
CKX,20030102,5.2,5.2,5.2,5.2,0
CLM,20030102,93.6,95.2,93.6,94.88,6500
CMT,20030102,1.1,1.11,1.1,1.1,2600
CPI,20030102,8.35,8.35,8.35,8.35,0
CRF,20030102,92,92.72,91.2,92.72,6800
CSM,20030102,2.275,2.275,2.275,2.275,1800
CVM,20030102,52.5,52.5,47.5,52.5,136300
CVR,20030102,22.8,23,22.8,23,500
CVU,20030102,4.4,4.41,4.38,4.38,11300
CYB,20030102,1.25,1.4,1.21,1.4,8800
DGT,20030102,50.39,51.6,50.39,51.6,4300
DIA,20030102,84.15,86.33,83.95,86.18,7459900
DIT,20030102,36,36,33,33,1233
DLA,20030102,7.625,7.63,7.58,7.58,900
DMF,20030102,8.79,8.86,8.76,8.86,13200
DSI,20030102,9.6,9.88,9.58,9.88,8500
ECF,20030102,7.44,7.75,7.44,7.75,11300
EFA,20030102,33.247,33.763,33.09,33.666,286900
EIM,20030102,13.3,13.63,13.3,13.56,121300
ENX,20030102,13.41,13.87,13.41,13.87,41200
EPP,20030102,14.4641,14.5661,14.4641,14.5661,9500
ERC,20030102,21.563,21.563,21.563,21.563,0
ESP,20030102,9.705,9.705,9.705,9.705,0
EVM,20030102,13.29,13.44,13.29,13.3,33800
EVV,20030102,0.05,0.05,0.05,0.05,0
EWA,20030102,9.19,9.3,9.12,9.25,13200
EWC,20030102,9.65,9.7,9.45,9.69,12700
EWD,20030102,9.76,10.04,9.76,10.04,7600
EWG,20030102,10.15,10.48,10.15,10.4,140600
EWH,20030102,7.43,7.56,7.38,7.56,53700
EWI,20030102,29.84,30.2,29.82,30.2,400
EWJ,20030102,28,28.4,28,28.32,1529000
EWK,20030102,9.92,10.19,9.91,10.19,3200
EWL,20030102,11.17,11.25,11.06,11.22,15900
EWM,20030102,20.24,20.24,19.84,20.24,47100
EWN,20030102,13.56,13.79,13.56,13.79,1200
EWO,20030102,8.52,8.62,8.52,8.54,46100
EWP,20030102,17.96,17.96,17.96,17.96,200
EWQ,20030102,14.84,15.34,14.84,15.3,9800
EWS,20030102,8.68,8.78,8.52,8.78,20200
EWT,20030102,16.58,16.58,16.38,16.58,39500
EWU,20030102,24.4,24.6,24.2,24.58,67100
EWW,20030102,12.79,13.29,12.79,13.29,36800
EWY,20030102,18.69,18.99,18.46,18.78,32900
EWZ,20030102,8.11,8.29,7.97,8.05,135700
EZM,20030102,2.85,2.8667,2.85,2.8667,8100
EZU,20030102,22.05,22.4,21.95,22.4,15600
